ID,Fase,Módulo,Tarefa,Subtarefa,Início,Dias,Fim,Predecessora,Conclusão %,Baseline_Início,Baseline_Fim,Responsável
1,,Estabilização da INFRA-DPP,Monitoramento da estabilização,Garantir persistência do GIT na INFRA-DPP,2026-01-19,20,2026-02-16,Nenhuma,50,2026-01-22,,SEATC
2,,Primeiro semestre,SIMPE,reunião de alinhamento,2026-02-08,1,2026-02-09,,0,,,Arrb-dyna
3,,Primeiro semestre,SIMPE,Migração para a infra,2026-02-16,14,2026-03-06,1,0,,,Arrb-dyna
4,,Primeiro semestre,SGP,reunião de alinhamento,2026-02-09,1,2026-02-10,2,0,,,Arrb-dyna
5,,Primeiro semestre,SGP,Migração para a infra,2026-03-06,14,2026-03-26,3,0,,,Arrb-dyna
6,,Primeiro semestre,VGEO,VGEO,2026-02-10,15,2026-03-03,4,0,,,Arrb-dyna
7,,Primeiro semestre,Board,Board,2026-03-26,15,2026-04-17,5,0,,,SEATC
8,,Primeiro semestre,As-Built,As-Built,2026-03-03,15,2026-03-24,6,0,,,SEATC
9,,Primeiro semestre,APOLO,APOLO,2026-04-17,15,2026-05-12,7,0,,,SEATC
10,,Primeiro semestre,API_GEO,API_GEO,2026-03-24,15,2026-04-15,8,0,,,SEATC
11,,Segundo semestre,PNCT,PNCT,2026-05-12,20,2026-06-09,9,0,,,SEATC
12,,Segundo semestre,EVTEA,EVTEA,2026-04-15,15,2026-05-08,10,0,,,SEATC
13,,Segundo semestre,SGPLAN - Empreendimentos,SGPLAN - Empreendimentos,2026-06-09,15,2026-06-30,11,0,,,SEATC
14,,Segundo semestre,Ecosistemas,Ecosistemas,2026-05-08,15,2026-05-29,12,0,,,DPP
15,,Segundo semestre,SISTNET,SISTNET,2026-06-30,15,2026-07-21,13,0,,,DPP
16,,Segundo semestre,SGPRO,SGPRO,2026-05-29,15,2026-06-19,14,0,,,DPP
17,,Segundo semestre,TR-Nacional,TR-Nacional,2026-07-21,15,2026-08-11,15,0,,,DPP
18,,Segundo semestre,SGE,SGE,2026-06-19,15,2026-07-10,16,0,,,Arrb-dyna
